🔥 STARTING 500s STRESS TEST
   Target: http://localhost:8000
   Duration: 500s
------------------------------------------------------------
TIME       | STATUS   | LATENCY  | CPU%   | MEM%   | BTC PRICE    | SIGNAL
------------------------------------------------------------
   0s       | OK       |   10.3ms |  78.5% |  81.0% | --           | RUNNING
   1s       | OK       |    5.9ms |  29.3% |  81.1% | --           | RUNNING
   2s       | OK       |    6.1ms |  22.7% |  80.7% | --           | RUNNING
   3s       | OK       |    6.5ms |  19.4% |  80.6% | --           | RUNNING
   4s       | OK       |    5.3ms |  17.6% |  80.5% | --           | RUNNING
   5s       | OK       |    7.6ms |  49.9% |  80.9% | --           | RUNNING
   6s       | OK       |    2.7ms |  35.4% |  81.4% | --           | RUNNING
   7s       | OK       |    9.2ms |  40.9% |  81.8% | --           | RUNNING
   8s       | OK       |    2.2ms |  22.7% |  81.0% | --           | RUNNING
   9s       | OK       |   15.7ms |  44.7% |  81.2% | --           | RUNNING
  10s       | OK       |    2.6ms |  43.1% |  81.7% | --           | RUNNING
  11s       | OK       |    7.0ms |  55.1% |  84.7% | --           | RUNNING
  12s       | OK       |   14.2ms |  82.0% |  84.7% | --           | RUNNING
  13s       | OK       |   15.3ms |  87.1% |  84.7% | --           | RUNNING
  14s       | OK       |    2.5ms |  67.9% |  83.9% | --           | RUNNING
  15s       | OK       |    2.9ms |  69.4% |  84.4% | --           | RUNNING
  16s       | OK       |    3.6ms |  74.1% |  85.1% | --           | RUNNING
  17s       | OK       |   20.2ms |  88.9% |  85.5% | --           | RUNNING
  18s       | OK       |   10.4ms |  94.6% |  87.6% | --           | RUNNING
  19s       | OK       |   50.9ms |  77.1% |  85.7% | --           | RUNNING
  20s       | OK       |   79.0ms |  99.3% |  84.6% | --           | RUNNING
  21s       | OK       |    5.1ms |  85.8% |  71.3% | --           | RUNNING
  22s       | OK       |    7.4ms |  76.4% |  72.0% | --           | RUNNING
  23s       | OK       |    6.6ms |  32.9% |  71.8% | --           | RUNNING
  24s       | OK       |    6.6ms |  27.0% |  71.4% | --           | RUNNING
  25s       | OK       |    6.7ms |  17.6% |  71.5% | --           | RUNNING
  26s       | OK       |    7.3ms |  13.2% |  71.5% | --           | RUNNING
  27s       | OK       |    7.7ms |  12.8% |  71.3% | --           | RUNNING
  28s       | OK       |    7.4ms |  14.9% |  71.5% | --           | RUNNING
  29s       | OK       |    8.7ms |  13.9% |  71.5% | --           | RUNNING
  30s       | OK       |    8.1ms |  19.9% |  70.4% | --           | RUNNING
  31s       | OK       |    2.8ms |  37.5% |  71.4% | --           | RUNNING
  32s       | OK       |    7.2ms |  17.0% |  71.0% | --           | RUNNING
  33s       | OK       |    6.6ms |  30.1% |  70.4% | --           | RUNNING
  34s       | OK       |    2.3ms |  30.0% |  70.3% | --           | RUNNING
  35s       | OK       |    8.5ms |  32.5% |  70.3% | --           | RUNNING
  36s       | OK       |    6.5ms |  12.8% |  69.9% | --           | RUNNING
  37s       | OK       |    8.3ms |  19.9% |  69.9% | --           | RUNNING
  38s       | OK       |    7.3ms |  24.0% |  69.9% | --           | RUNNING
  39s       | OK       |    3.6ms |  57.8% |  69.8% | --           | RUNNING
  40s       | OK       |    6.8ms |  40.2% |  69.2% | --           | RUNNING
  41s       | OK       |    6.7ms |  35.8% |  69.2% | --           | RUNNING
  42s       | OK       |    7.5ms |  38.6% |  69.3% | --           | RUNNING
  43s       | OK       |    6.7ms |  23.2% |  69.4% | --           | RUNNING
  44s       | OK       |    8.6ms |  14.9% |  69.4% | --           | RUNNING
  45s       | OK       |    7.4ms |  13.9% |  69.3% | --           | RUNNING
  46s       | OK       |    7.0ms |  12.4% |  69.3% | --           | RUNNING
  47s       | OK       |    7.4ms |  11.8% |  69.3% | --           | RUNNING
  48s       | OK       |    7.1ms |  14.5% |  69.2% | --           | RUNNING
  49s       | OK       |    7.7ms |  11.8% |  69.2% | --           | RUNNING
  50s       | OK       |    6.9ms |  13.0% |  69.4% | --           | RUNNING
  51s       | OK       |    7.5ms |  16.7% |  69.3% | --           | RUNNING
  52s       | OK       |    7.7ms |  12.2% |  69.3% | --           | RUNNING
  53s       | OK       |    7.4ms |  23.3% |  69.4% | --           | RUNNING
  54s       | OK       |    4.9ms |  57.9% |  69.5% | --           | RUNNING
  55s       | OK       |    7.0ms |  44.2% |  69.5% | --           | RUNNING
  56s       | OK       |    7.3ms |  15.1% |  69.3% | --           | RUNNING
  57s       | OK       |    6.7ms |  20.1% |  69.3% | --           | RUNNING
  58s       | OK       |    8.1ms |  12.2% |  69.2% | --           | RUNNING
  59s       | OK       |    4.9ms |  14.9% |  69.1% | --           | RUNNING
  60s       | OK       |    6.2ms |  14.1% |  69.0% | --           | RUNNING
  61s       | OK       |    5.1ms |  11.6% |  69.0% | --           | RUNNING
  62s       | OK       |    4.6ms |  12.1% |  69.0% | --           | RUNNING
  63s       | OK       |    3.9ms |  11.8% |  69.0% | --           | RUNNING
  64s       | OK       |    5.0ms |  11.7% |  69.0% | --           | RUNNING
  65s       | OK       |    5.9ms |  12.1% |  69.3% | --           | RUNNING
  66s       | OK       |    6.2ms |  30.6% |  70.0% | --           | RUNNING
  67s       | OK       |    4.7ms |  44.7% |  70.7% | --           | RUNNING
  68s       | OK       |    8.3ms |  19.5% |  70.2% | --           | RUNNING
  69s       | OK       |    7.3ms |  18.7% |  70.1% | --           | RUNNING
  70s       | OK       |    6.1ms |  35.3% |  78.3% | --           | RUNNING
  71s       | OK       |    6.5ms |  22.9% |  80.6% | --           | RUNNING
  72s       | OK       |    6.2ms |  22.8% |  80.7% | --           | RUNNING
  73s       | OK       |    5.9ms |  12.3% |  80.5% | --           | RUNNING
  74s       | OK       |    5.3ms |  11.6% |  80.3% | --           | RUNNING
  75s       | OK       |    4.7ms |  19.2% |  81.0% | --           | RUNNING
  76s       | OK       |   18.6ms |  31.6% |  85.7% | --           | RUNNING
  77s       | OK       |    7.3ms |  19.1% |  85.6% | --           | RUNNING
  78s       | OK       |    8.9ms |  16.4% |  85.5% | --           | RUNNING
  79s       | OK       |    2.2ms |  22.8% |  85.6% | --           | RUNNING
  80s       | OK       |    7.9ms |  15.3% |  85.4% | --           | RUNNING
  81s       | OK       |    7.9ms |  18.2% |  78.9% | --           | RUNNING
  82s       | OK       |    6.7ms |  15.6% |  75.6% | --           | RUNNING
  83s       | OK       |    7.4ms |  29.4% |  74.8% | --           | RUNNING
  84s       | OK       |    7.9ms |  15.5% |  74.6% | --           | RUNNING
  85s       | OK       |    7.5ms |  10.5% |  74.7% | --           | RUNNING
  86s       | OK       |    7.9ms |  14.4% |  74.5% | --           | RUNNING
  87s       | OK       |    7.6ms |  15.7% |  74.6% | --           | RUNNING
  88s       | OK       |    4.2ms |  12.8% |  74.6% | --           | RUNNING
  89s       | OK       |    6.2ms |  17.6% |  74.3% | --           | RUNNING
  90s       | OK       |    6.9ms |  15.1% |  74.4% | --           | RUNNING
  91s       | OK       |    7.5ms |  11.8% |  74.0% | --           | RUNNING
  92s       | OK       |    7.6ms |  11.4% |  73.9% | --           | RUNNING
  93s       | OK       |    7.2ms |  10.2% |  74.0% | --           | RUNNING
  94s       | OK       |    7.4ms |  11.1% |  74.0% | --           | RUNNING
  95s       | OK       |    7.7ms |  10.1% |  74.0% | --           | RUNNING
  96s       | OK       |    7.7ms |  10.4% |  74.0% | --           | RUNNING
  97s       | OK       |    7.4ms |  10.8% |  73.9% | --           | RUNNING
  98s       | OK       |    4.0ms |  14.9% |  73.9% | --           | RUNNING
  99s       | OK       |    9.0ms |  24.0% |  74.0% | --           | RUNNING
 100s       | OK       |    7.2ms |  11.2% |  74.1% | --           | RUNNING
 101s       | OK       |   10.2ms |  12.7% |  74.3% | --           | RUNNING
 102s       | OK       |    8.0ms |  11.5% |  74.4% | --           | RUNNING
 103s       | OK       |    9.3ms |  19.3% |  75.1% | --           | RUNNING
 104s       | OK       |    4.5ms |  17.1% |  75.1% | --           | RUNNING
 105s       | OK       |    6.3ms |  15.1% |  74.9% | --           | RUNNING
 106s       | OK       |    6.9ms |  17.1% |  74.9% | --           | RUNNING
 107s       | OK       |    7.0ms |  12.5% |  74.8% | --           | RUNNING
 108s       | OK       |    8.4ms |  11.0% |  74.6% | --           | RUNNING
 109s       | OK       |    7.6ms |  13.3% |  74.8% | --           | RUNNING
 110s       | OK       |    7.0ms |  14.7% |  74.8% | --           | RUNNING
 111s       | OK       |    6.9ms |  17.7% |  74.8% | --           | RUNNING
 112s       | OK       |    6.6ms |  17.1% |  74.8% | --           | RUNNING
 113s       | OK       |    8.1ms |  14.5% |  74.8% | --           | RUNNING
 114s       | OK       |    6.1ms |  14.1% |  74.9% | --           | RUNNING
 115s       | OK       |    8.5ms |  13.3% |  75.0% | --           | RUNNING
 116s       | OK       |    7.5ms |  12.9% |  74.9% | --           | RUNNING
 117s       | OK       |    8.3ms |  12.0% |  74.7% | --           | RUNNING
 118s       | OK       |    4.6ms |  36.3% |  74.4% | --           | RUNNING
 119s       | OK       |    2.1ms |  58.6% |  72.2% | --           | RUNNING
 120s       | OK       |    6.1ms |  14.8% |  71.9% | --           | RUNNING
